Creating new game... (seed: -7990516969185201090)
0, 0 | Next Action: RIGHT
1, 0 | Next Action: RIGHT
2, 0 | Next Action: RIGHT
3, 0 | Next Action: RIGHT
4, 0 | Next Action: RIGHT
5, 0 | Next Action: RIGHT
6, 10 | Next Action: RIGHT
7, 10 | Next Action: RIGHT
8, 10 | Next Action: RIGHT
9, 10 | Next Action: RIGHT
10, 20 | Next Action: RIGHT
11, 20 | Next Action: RIGHT
12, 20 | Next Action: RIGHT
13, 20 | Next Action: RIGHT
14, 30 | Next Action: RIGHT
15, 30 | Next Action: RIGHT
16, 30 | Next Action: RIGHT
17, 30 | Next Action: RIGHT
18, 40 | Next Action: RIGHT
19, 40 | Next Action: RIGHT
20, 40 | Next Action: RIGHT
21, 40 | Next Action: RIGHT
22, 50 | Next Action: RIGHT
23, 50 | Next Action: RIGHT
24, 50 | Next Action: RIGHT
25, 50 | Next Action: RIGHT
26, 60 | Next Action: RIGHT
27, 60 | Next Action: RIGHT
28, 60 | Next Action: RIGHT
29, 60 | Next Action: RIGHT
30, 70 | Next Action: RIGHT
31, 70 | Next Action: RIGHT
32, 70 | Next Action: RIGHT
33, 70 | Next Action: RIGHT
34, 80 | Next Action: RIGHT
35, 80 | Next Action: RIGHT
36, 80 | Next Action: RIGHT
37, 80 | Next Action: RIGHT
38, 90 | Next Action: RIGHT
39, 90 | Next Action: RIGHT
40, 90 | Next Action: RIGHT
41, 90 | Next Action: RIGHT
42, 100 | Next Action: UP
43, 100 | Next Action: UP
44, 100 | Next Action: UP
45, 100 | Next Action: UP
46, 110 | Next Action: UP
47, 110 | Next Action: UP
48, 110 | Next Action: UP
49, 110 | Next Action: UP
50, 120 | Next Action: UP
51, 120 | Next Action: UP
52, 120 | Next Action: UP
53, 120 | Next Action: UP
54, 130 | Next Action: UP
55, 130 | Next Action: UP
56, 130 | Next Action: UP
57, 130 | Next Action: UP
58, 140 | Next Action: UP
59, 140 | Next Action: UP
60, 140 | Next Action: UP
61, 140 | Next Action: UP
62, 150 | Next Action: UP
63, 150 | Next Action: UP
64, 150 | Next Action: UP
65, 150 | Next Action: UP
66, 160 | Next Action: RIGHT
67, 160 | Next Action: RIGHT
68, 160 | Next Action: RIGHT
